Year,Ranking,Song,Album,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Kevin,Approx Genre
2016,1,Paper Hearts,Foreword,Tori Kelly,,,,,,1,Love
2016,2,Battlefield,Battlefield,Jordin Sparks,,,,,,2,Pop
2016,3,Know Yourself,If You're Reading This It's Too Late,Drake,,,,,,3,Rap
2016,4,Love Me Harder,Me Everything (Deluxe),Ariana Grande,The Weeknd,,,,,4,Pop
2016,5,Hollow,Unbreakable Smile,Tori Kelly,,,,,,5,Love
2016,6,Far Away,All The Right Reasons (Special Edition),Nickelback,,,,,,6,Rock
2016,7,Jumpman,What A Time To Be Alive,Drake,Future,,,,,7,Rap
2016,8,Starting Over (feat. Ben Bridwell),The Heist,Macklemore & Ryan Lewis,Ben Bridwell,,,,,8,Rap
2016,9,Fight Night,No Label II,Migos,,,,,,9,Rap
2016,10,Live Your Life - feat. Rihanna,Paper Trail,T.I.,Rihanna,,,,,10,Pop
2016,11,Animal,Habits,Neon Trees,,,,,,11,Pop
2016,12,Don't Let Me Down,Don't Let Me Down,The Chainsmokers,Daya,,,,,12,Pop
2016,13,The Funeral,Everything All The Time,Band of Horses,,,,,,13,Pop
2016,14,Love Love Love,Love Love Love,Avalanche City,,,,,,14,Love
2016,15,Runaway,Runaway,Ziggy Alberts,,,,,,15,Alternative
2016,16,A Thousand Years,A Thousand Years,Christina Perri,,,,,,16,Pop
2016,17,What About Now,Daughtry (Deluxe Edition),Daughtry,,,,,,17,Rock
2016,18,Should've Been Us,Unbreakable Smile,Tori Kelly,,,,,,18,Love
2016,19,Wasted,MKTO,MKTO,,,,,,19,Pop
2016,20,Cough Syrup,Young the Giant (Special Edition),Young the Giant,,,,,,20,Alternative
2016,21,Cool Kids,Talking Dreams (Deluxe Version),Echosmith,,,,,,21,Pop
2016,22,White Iverson,White Iverson,Post Malone,,,,,,22,Rap
2016,23,Me And My Broken Heart,Let The Road,Rixton,,,,,,23,Love
2016,24,"Too Little, Too Late",The High Road,JoJo,,,,,,24,Pop
2016,25,How To Love,Tha Carter IV (Deluxe),Lil Wayne,,,,,,25,Rap
2016,26,Headlines,Take Care (Deluxe),Drake,,,,,,26,Rap
